Prefix,FileOffice,CurrentOwner,UsagePeriod,NumberOfFilesHeld,NumberOfDocumentsHeld,BusinessFunctionCovered
IPA,0075 - CSIP IPC,Science and Policy - Policy - Contaminants,2007-2011,61,9487,Mycotoxins and Organic contaminants. Food contact materials. Incident prevention projects. Sudan 1 Review secretariat
IPB,0075 - CSIP IPC,Science and Policy - Policy - Contaminants,2007-2011,81,10960,Food Contact Materials Working Party. Process and inorganic contaminants. Incident prevention projects. inorganic contaminants
IPC,0011 - CCAD CCD2,Science and Policy - Policy - Contaminants,2005 only,0,0,Environmental Protection Act 1990 Applications
IPP,0075 - CSIP IPC,Operations - Consumer Protection and Commercial Support,2007-2009,19,875,Incidents Prevention Projects
IRB,0008 - CCAF IRB,Operations - Consumer Protection and Commercial Support,2003-2009,85,2744,Incidents Response Policies. Protocols and Planning
ITS,0001 - FPIT IT,Finance and Strategy - CIO - FSA IT,2004-2010,17,286,IT service management. IT development
KMS,0001 - FPIT IT,Finance and Strategy - CIO - FSA IT,2004-2011,6,145,Information Management
LCS,0058 - SCO SCP,Food Standards Scotland,2005-2011,118,3966,Scotland - Food Labelling. Food Safety (allergens. flavourings). Standards and Composition
LDQ,0017 - RPRM RSU,Science and Policy - Science - Scientific Data Quality,2004-2011,88,9321,Scientific Data Quality. Analysis Methods. Quality Assurance
LEG,0040 - Legal LEG,Regulatory and Legal Strategy - Legal ,2004-2012,770,49463,Legal Advice. Legal Cases. Legislation Drafting
LIS,0001 - FPIT IT,Finance and Strategy - CIO - FSA IT,2004-2011,2,12,Information Management
LRM,0029 - FLS GL,Defra - Transferred 2010,2005-2010,0,0,Food Labelling Policy
LSA,0029 - FLS GL,Defra - Transferred 2010,2004-2008,0,0,Food Labelling Policy
LSB,0003 - FLSFLP,Defra - Transferred 2010,2004-2010,0,0,Food Law Policy.  
LSC,0003 - FLSFLP,Defra - Transferred 2010,2004-2009,0,0,Food Law Policy. Choking Hazards
LSD,0018 - FLS SA,Defra - Transferred 2010,2004-2010,0,0,Food Authencity and Labelling
MAH,0008 - CCAF IRB,Operations - Consumer Protection and Commercial Support,2005 only,0,0,COMAH (Control of Major Accident Hazards) (Case Files
MFI,0012 - LAED FIB,Operations - Consumer Protection and Commercial Support,2003-2006,0,0,Meat Fraud Investigations
MHA,0025 - MHD,Science and Policy - Policy - Meat Hygiene,2004-2013,335,27069,Meat Hygiene Science. Policy.  Meat Plant Approvals Policy. TS Notifications
MHC,0025 - MHD,Science and Policy - Policy - Meat Hygiene,2004-2009,49,1645,Meat Hygiene Science. Policy.  Meat Plant Approvals Policy
MHF,0025 - MHD,Operations - Operations Assurance,2004-2009,33,40,Meat Plant Approvals  (VMHA Versions)
MHP,0025 - MHD,Operations - Operations Assurance,2004-2010,745,2764,Meat Plant Approvals  (Local Versions)
MKD,0042 - FCS,Operations - Local Delivery - Code of Practice,2004-2007 (one 2010 file),13,593,Food Chain Training Policy. Policy commission on farming/food.  Task force on small food businesses.
MLK,0031 - MSD B,Science and Policy - Policy - Food Hygiene,2004-2012,176,13700,Hygiene Policy Development/Implementation Dairy Products (including Specialist Cheesemakers Initiative. Dairy hygiene research. UK Dairies Database).  
MPC,0010 - CCAF CCD1,Science and Policy - Policy - Contaminants,2004-2007,250,8300,Mycotoxins and Process Contaminants
MPP,0025 - MHD,Science and Policy - Policy - Meat Hygiene,2005-2009,15,125,Meat Hygiene and Veterinary Policy. Approvals Policy
MSF,0038 - MSD DEFH,Science and Policy - Science -  Microbiological Food Safety,2004-2012,327,22478,Salmonella/Campylobacter poultry strategy. Emerging Zoonoses. Organic wastes. Vac/MAP food. Microcriteria. Advisory Committee on Microbiological Safety of Food (ACMSF)
MTE,0037 - CST 1,Science and Policy - Science - Chemical Risk Assessment,2004-2011,29,1158,Exposure Assessment (Pesicides)
NAD,0059 - SCO SSE,Food Standards Scotland,2007-2011,80,3002,Science - Diet and Nutrition Science. Research and Surveillance
NAT,0026 - CST2,Science and Policy - Policy - Food Allergens,2004-2013,154,20814,Food Allergy Policy. Queries and Branch Management
NFU,0024 - NFD,Science and Policy - Policy -  Novel Foods & Radiological,2004-2011,430,28560,Novel Foods Policy. Science and Product Approvals. ACNFP Records
NIC,0020 - NI,Northern Ireland - Corporate Resources,2004-2011,60,1843,Corporate Resources (Accomodation. IT. Security) and Senior Management of Northern Ireland
NIF,0020 - NI,Northern Ireland - Policy and Legislation,2003-2009,0,0,Policy devleopment and casework in Northern Ireland
NIL,0020 - NI,Northern Ireland - All except Corporate Resources,2005-2006 (one file used in 2009),50,362,Policy development in Northern Ireland
NIM,0020 - NI,Northern Ireland,2006-2007,0,0,Email Archive only
NIP,0020 - NI,Northern Ireland - All except Corporate Resources,2005-2012,1012,42939,Policy development. audits. approvals. campaigns 
NUA,0046 - NUT A,Public Health England - Transferred 2010,2004-2010,0,0,Diet and Nutrition Surveys.  Nutrient composition of foods.  Salt modelling and monitoring.  Management of Total Diet Study to 2007.
NUB,0043 - NUT B,Public Health England - Transferred 2010,2004-2010,0,0,Policy and advice/education on diet and nutrition. Research on Food Acceptability and Choice & Food Choice inequalities.  Nutrition support to website and salt campaign. 
NUC,0047 - NUT C,Public Health England - Transferred 2010,2004-2010,0,0,Nutrition Research Programme.  Obesity. Nutrition Strategy - working with industry. FSA lead on cross-government Food and Health Action Plan & White Paper
NUD,0048 - NUT D,Public Health England - Transferred 2010,2004-2010,0,0,Nutrition Strategy - working with industry. FSA lead on cross-government Food and Health Action Plan & White Paper
OCR,0057 - FHID,Regulatory and Legal Strategy - Official Controls Policy,2004-2011,96,17164,Co-ordination of application of EU Official Feed and Food Control Regulation and corresponding UK national control plan
PAU,0002 - FPIT PAU,Finance and Strategy -Procurement,2003-2008,53,2475,Procurement
PPC,0011 - CCAD CCD2,Policy - Policy - Contaminants,2005-2008,0,0,Integrated Pollution Prevention and Control Assessments
PTA,0001 - FPIT IT,Science and Policy - Policy - Contaminants,2004-2010,6,204,Security (IT. Physical. Personnel) polcies and incidents.  Estates management (facilities. building leases). Business Continuity Planning
PVM,0019 - CST3,Science and Policy - Policy - Contaminants,2003-2013,268,10067,Pesticides and Veterinary Medicines - Policy. Committees. Incidents. Science
RAS,0037 - CST 1,Science and Policy - Science - Chemical Risk Assessment,2004-2011,153,6820,Toxicology Science and Research
RCB,0061 - SRRD RCB,Regulatory and Legal Strategy - Better Regulation,2004-2012,68,10829,FSA Better Regulation Programme. including simplification programme. impact assessments and coordination of consultations.  Sustainability (from August 2010)
RCU,0016 - RPRM RCU,Science and Policy - Science - Chief Scientific Adviser,2003-2012,291,29672,Research Strategy and Management
RPU,0071 - FHI RPU,Operations - Local Delivery - Regional,2006-2011,70,10212,Regional Co-Ordination of Local Authority Liaison
RSU,0017 - RPRM RSU,Science and Policy - Policy -  Novel Foods & Radiological,2004-2013,697,35214,Radiological Monitoring. Discharge authorisations. Food Irradiation. Radiologicla incidents and exercises
SAC,0047 - NUT C,Public Health England - Transferred 2010,2005-2010,0,0,Secretariat to Scientific Advisory Committee on Nutrition.
SAF,0059 - SCO SSE,Food Standards Scotland,2008-2010,150,4496,Scotland - Food Safety Science
SCB,0058 - SCO SCP,Food Standards Scotland,2005-2010,197,5280,Scotland - European Issues. General Food Law. OFFC Regulation. CODEX. Cross-Cutting Issues. Emergency Planning. Consolidation of EU Legislation
SDG,0044 - LAED PCB,Operations - Local Delivery - FHRS,2010-2011,255,1485,Food Hygiene Rating Scheme Early Adopters Grants (Case Files)
SDU,0006 - FPIT BP,Planning Performance and Change,2004-2006,0,0,Strategic Planning
SEC,0051 - CSI BS,Private Office ,2004-2007,21,341,FSA Board Secretariat Records
SFB,0062 - SCO SCS,Food Standards Scotland,2005-2011,0,0,Scotland - Financial Records
SGS,0068 - FHI FSM,Operations - Local Delivery,2005-2011,49,1131,HACCP Implementation Grant Applications (Case Files)
SHE,0059 - SCO SSE,Food Standards Scotland,2010-2011,28,520,Scotland - Shellfish policy and Monitoring
SHU,0059 - SCO SSE,Food Standards Scotland,2010-2012,22,484,Scotland - Foodborne Disease Strategy. Chemical and Radiological Contaminants
SPU,0072 - SPU,Finance and Strategy - PPC,2006-2012,21,5598,Strategic Plan. Equality/Diversity. Business Planning. Corporate Governance
SRC,0066 - MSD 4,Science and Policy - Science -  Microbiological Food Safety,2005-2010,88,9143,Microbiological research strategy & food hygiene surveillance. 
SSE,0077 - ARD DH,Public Health England - Transferred 2010,2007-2010,0,0,Social Science relating to Diet and Nutrition
SSR,0045 - EAD,Science and Policy - Science - Social Science,2007-2010,30,3960,Social Science. including Social Science Research Committee (SSRC)
STA,0045 - EAD,Science and Policy - Science - Stats,2006-2009,0,0,Statistical Analysis 
TOX,0037 - CST 1,Science Evidence and Research - Chemical Risk Assessment,2004-2014,214,11410,Toxicology - Advice on Specific Toxins
TSE,0041 - TSE (BSE),Policy Programmes -  Animal Feed and TSE,2004-2013,204,12055,TSE Policy and Science (also SRM approvals)
WAL,0022 - WAL,Wales,2004-2012,945,65289,All FSA Wales function
WAN,0078 - WAL NUT,Welsh Assembly - Transferred 2010,2004-2010,0,0,Nutrition records held by FSA Wales
